from_frame,to_frame,na_index,dx_frac,dy_frac,dz_frac,step_frac
1721,1722,13,0.0006093999999999,0.0003648099999999,-0.0008269399999999,0.0010900846112572
1722,1723,13,0.00061041,0.0003680799999999,-0.00082418,0.0010896586286081
1720,1721,13,0.00060756,0.0003610299999999,-0.00082884,0.001089241736301
1723,1724,13,0.00061067,0.0003709299999999,-0.0008206299999999,0.0010880903044784
1719,1720,13,0.00060483,0.00035672,-0.0008298399999999,0.0010870615957249
1724,1725,13,0.0006103,0.00037338,-0.00081637,0.0010855131004737
1718,1719,13,0.0006011699999999,0.0003517899999999,-0.00082987,0.0010834416412063
1725,1726,13,0.0006093999999999,0.0003754899999999,-0.0008114699999999,0.0010820557568812
1717,1718,13,0.0005964999999999,0.00034623,-0.0008287599999999,0.001078207123191
1726,1727,13,0.0006080499999999,0.0003772799999999,-0.0008060700000001,0.0010778746892844
1727,1728,13,0.00060635,0.0003788,-0.0008003199999999,0.00107315509825
1716,1717,13,0.00059078,0.0003400799999999,-0.0008264399999999,0.0010712975722925
1728,1729,13,0.0006044399999999,0.00038015,-0.0007944199999999,0.0010681595725826
1729,1730,13,0.0006024199999999,0.0003814199999999,-0.0007884999999999,0.0010630725858566
1715,1716,13,0.00058405,0.0003333699999999,-0.0008228399999999,0.001062692629597
1730,1731,13,0.0006004199999999,0.00038264,-0.00078264,0.0010580372940497
1731,1732,13,0.00059852,0.00038388,-0.0007768099999999,0.0010531019992859
1714,1715,13,0.0005763199999999,0.0003260999999999,-0.0008179999999999,0.0010524304976576
1732,1733,13,0.0005967299999999,0.0003850999999999,-0.00077101,0.0010482581375787
1733,1734,13,0.0005950799999999,0.0003863399999999,-0.00076523,0.0010435304283536
1713,1714,13,0.00056764,0.0003182999999999,-0.00081207,0.0010406669709854
1734,1735,13,0.0005935599999999,0.0003875899999999,-0.0007594999999999,0.0010389320149556
1735,1736,13,0.00059228,0.00038892,-0.00075392,0.001034625406222
1736,1737,13,0.0005912,0.00039036,-0.0007485299999999,0.0010306287064214
1712,1713,13,0.0005579399999999,0.0003099599999999,-0.0008050699999999,0.0010273801390429
1737,1738,13,0.0005903,0.0003918899999999,-0.00074326,0.0010268725771487
1738,1739,13,0.0005895899999999,0.00039349,-0.0007380799999999,0.0010233341754284
1739,1740,13,0.00058906,0.0003951199999999,-0.00073299,0.0010199930578685
1740,1741,13,0.00058871,0.0003967799999999,-0.0007279199999999,0.0010167995667288
1741,1742,13,0.0005885099999999,0.0003984399999999,-0.0007227999999999,0.0010136756353487
1711,1712,13,0.0005473,0.00030113,-0.00079716,0.0010127589212147
1742,1743,13,0.00058842,0.00040007,-0.00071748,0.001010480901205
1743,1744,13,0.0005883399999999,0.0004016299999999,-0.00071187,0.0010070796936687
1744,1745,13,0.0005882999999999,0.0004030899999999,-0.0007059199999999,0.0010034448088957
1745,1746,13,0.00058824,0.00040444,-0.00069964,0.0009995469677809
1710,1711,13,0.0005357699999999,0.0002919,-0.0007884899999999,0.0009969812350289
1746,1747,13,0.00058812,0.0004056299999999,-0.00069297,0.0009953030956447
1747,1748,13,0.0005878299999999,0.00040663,-0.00068591,0.000990638477902
713,714,10,-0.00033527,-0.00062052,-0.00069418,0.0009896145288444
714,715,10,-0.00033849,-0.00061579,-0.00069634,0.0009892735717687
712,713,10,-0.0003307999999999,-0.0006229299999999,-0.0006901099999999,0.0009867736503372
715,716,10,-0.0003405,-0.0006089,-0.0006967099999999,0.0009859534898259
1748,1749,13,0.00058734,0.0004074,-0.0006784599999999,0.0009855206782203
711,712,10,-0.0003249799999999,-0.00062293,-0.00068404,0.0009805939561816
